PadID	Sector	Row  PadInRow     gCenX       gCenZ       gx[0]       gz[0]       gx[1]       gz[1]       gx[2]       gz[2]       gx[3]       gz[3]       lCenX       lCenZ       lx[0]       lz[0]       lx[1]       lz[1]       lx[2]       lz[2]       lx[3]       lz[3]
99	0	2        14      13.575     -28.675       12.86    -28.7713       14.29    -28.0787       14.29     -28.605       12.86     -29.245      28.675      13.575     28.7713       12.86     28.0787       14.29      28.605       14.29      29.245       12.86
100	0	2        15      13.575     -29.175       12.86     -29.245       14.29     -28.605       14.29    -29.1314       12.86    -29.7186      29.175      13.575      29.245       12.86      28.605       14.29     29.1314       14.29     29.7186       12.86
101	0	2        16      13.575     -29.675       12.86    -29.7186       14.29    -29.1314       14.29    -29.6577       12.86    -30.1923      29.675      13.575     29.7186       12.86     29.1314       14.29     29.6577       14.29     30.1923       12.86
102	0	2        17      13.575     -30.175       12.86    -30.1923       14.29    -29.6577       14.29     -30.184       12.86     -30.666      30.175      13.575     30.1923       12.86     29.6577       14.29      30.184       14.29      30.666       12.86
103	0	2        18      13.575     -30.675       12.86     -30.666       14.29     -30.184       14.29    -30.7104       12.86    -31.1396      30.675      13.575      30.666       12.86      30.184       14.29     30.7104       14.29     31.1396       12.86
104	0	2        19      13.575     -31.175       12.86    -31.1396       14.29    -30.7104       14.29    -31.2367       12.86    -31.6133      31.175      13.575     31.1396       12.86     30.7104       14.29     31.2367       14.29     31.6133       12.86
105	0	2        20      13.575     -31.675       12.86    -31.6133       14.29    -31.2367       14.29     -31.763       12.86     -32.087      31.675      13.575     31.6133       12.86     31.2367       14.29      31.763       14.29      32.087       12.86
106	0	2        21      13.575     -32.175       12.86     -32.087       14.29     -31.763       14.29    -32.2894       12.86    -32.5606      32.175      13.575      32.087       12.86      31.763       14.29     32.2894       14.29     32.5606       12.86
107	0	2        22      13.575     -32.675       12.86    -32.5606       14.29    -32.2894       14.29    -32.8157       12.86    -33.0343      32.675      13.575     32.5606       12.86     32.2894       14.29     32.8157       14.29     33.0343       12.86
108	0	2        23      13.575     -33.175       12.86    -33.0343       14.29    -32.8157       14.29     -33.342       12.86     -33.508      33.175      13.575     33.0343       12.86     32.8157       14.29      33.342       14.29      33.508       12.86
109	0	2        24      13.575     -33.675       12.86     -33.508       14.29     -33.342       14.29    -33.8684       12.86    -33.9816      33.675      13.575      33.508       12.86      33.342       14.29     33.8684       14.29     33.9816       12.86
110	0	2        25      13.575     -34.175       12.86    -33.9816       14.29    -33.8684       14.29    -34.3947       12.86    -34.4553      34.175      13.575     33.9816       12.86     33.8684       14.29     34.3947       14.29     34.4553       12.86
111	0	2        26      13.575     -34.675       12.86    -34.4553       14.29    -34.3947       14.29     -34.921       12.86     -34.929      34.675      13.575     34.4553       12.86     34.3947       14.29      34.921       14.29      34.929       12.86
112	0	2        27      13.575     -35.175       12.86     -34.929       14.29     -34.921       14.29    -35.4474       12.86    -35.4026      35.175      13.575      34.929       12.86      34.921       14.29     35.4474       14.29     35.4026       12.86
113	0	2        28      13.575     -35.675       12.86    -35.4026       14.29    -35.4474       14.29    -35.9737       12.86    -35.8763      35.675      13.575     35.4026       12.86     35.4474       14.29     35.9737       14.29     35.8763       12.86
114	0	2        29      13.575     -36.175       12.86    -35.8763       14.29    -35.9737       14.29    -36.5001       12.86    -36.3499      36.175      13.575     35.8763       12.86     35.9737       14.29     36.5001       14.29     36.3499       12.86
115	0	2        30      13.575     -36.675       12.86    -36.3499       14.29    -36.5001       14.29    -37.0264       12.86    -36.8236      36.675      13.575     36.3499       12.86     36.5001       14.29     37.0264       14.29     36.8236       12.86
116	0	2        31      13.575     -37.175       12.86    -36.8236       14.29    -37.0264       14.29    -37.5527       12.86    -37.2973      37.175      13.575     36.8236       12.86     37.0264       14.29     37.5527       14.29     37.2973       12.86
117	0	2        32      13.575     -37.675       12.86    -37.2973       14.29    -37.5527       14.29    -38.0791       12.86    -37.7709      37.675      13.575     37.2973       12.86     37.5527       14.29     38.0791       14.29     37.7709       12.86
118	0	2        33      13.575     -38.175       12.86    -37.7709       14.29    -38.0791       14.29    -38.6054       12.86    -38.2446      38.175      13.575     37.7709       12.86     38.0791       14.29     38.6054       14.29     38.2446       12.86
119	0	2        34      13.575     -38.675       12.86    -38.2446       14.29    -38.6054       14.29    -39.1317       12.86    -38.7183      38.675      13.575     38.2446       12.86     38.6054       14.29     39.1317       14.29     38.7183       12.86
120	0	2        35      13.575     -39.175       12.86    -38.7183       14.29    -39.1317       14.29    -39.6581       12.86    -39.1919      39.175      13.575     38.7183       12.86     39.1317       14.29     39.6581       14.29     39.1919       12.86
121	0	2        36      13.575     -39.675       12.86    -39.1919       14.29    -39.6581       14.29    -40.1844       12.86    -39.6656      39.675      13.575     39.1919       12.86     39.6581       14.29     40.1844       14.29     39.6656       12.86
122	0	2        37      13.575     -40.175       12.86    -39.6656       14.29    -40.1844       14.29    -40.7107       12.86    -40.1393      40.175      13.575     39.6656       12.86     40.1844       14.29     40.7107       14.29     40.1393       12.86
123	0	2        38      13.575     -40.675       12.86    -40.1393       14.29    -40.7107       14.29    -41.2371       12.86    -40.6129      40.675      13.575     40.1393       12.86     40.7107       14.29     41.2371       14.29     40.6129       12.86
124	0	2        39      13.575     -41.175       12.86    -40.6129       14.29    -41.2371       14.29    -41.7634       12.86    -41.0866      41.175      13.575     40.6129       12.86     41.2371       14.29     41.7634       14.29     41.0866       12.86
125	0	2        40      13.575     -41.675       12.86    -41.0866       14.29    -41.7634       14.29    -42.2897       12.86    -41.5603      41.675      13.575     41.0866       12.86     41.7634       14.29     42.2897       14.29     41.5603       12.86
126	0	2        41      13.575     -42.175       12.86    -41.5603       14.29    -42.2897       14.29    -42.8161       12.86    -42.0339      42.175      13.575     41.5603       12.86     42.2897       14.29     42.8161       14.29     42.0339       12.86
127	0	2        42      13.575     -42.675       12.86    -42.0339       14.29    -42.8161       14.29    -43.3424       12.86    -42.5076      42.675      13.575     42.0339       12.86     42.8161       14.29     43.3424       14.29     42.5076       12.86
128	0	2        43      13.575     -43.175       12.86    -42.5076       14.29    -43.3424       14.29    -43.8687       12.86    -42.9813      43.175      13.575     42.5076       12.86     43.3424       14.29     43.8687       14.29     42.9813       12.86
129	0	2        44      13.575     -43.675       12.86    -42.9813       14.29    -43.8687       14.29    -44.3951       12.86    -43.4549      43.675      13.575     42.9813       12.86     43.8687       14.29     44.3951       14.29     43.4549       12.86
130	0	2        45      13.575     -44.175       12.86    -43.4549       14.29    -44.3951       14.29    -44.9214       12.86    -43.9286      44.175      13.575     43.4549       12.86     44.3951       14.29     44.9214       14.29     43.9286       12.86
131	0	2        46      13.575     -44.675       12.86    -43.9286       14.29    -44.9214       14.29    -45.4478       12.86    -44.4022      44.675      13.575     43.9286       12.86     44.9214       14.29     45.4478       14.29     44.4022       12.86
132	0	3         0      15.005     -20.245       14.29      -20.71       15.72      -19.28       15.72    -19.8038       14.29    -21.1862      20.245      15.005       20.71       14.29       19.28       15.72     19.8038       15.72     21.1862       14.29
133	0	3         1      15.005     -20.745       14.29    -21.1862       15.72    -19.8038       15.72    -20.3277       14.29    -21.6623      20.745      15.005     21.1862       14.29     19.8038       15.72     20.3277       15.72     21.6623       14.29
134	0	3         2      15.005     -21.245       14.29    -21.6623       15.72    -20.3277       15.72    -20.8515       14.29    -22.1385      21.245      15.005     21.6623       14.29     20.3277       15.72     20.8515       15.72     22.1385       14.29
